Filename: ./gitclone/tiny-imagenet-200/test/images/test_0.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_0_resized_.JPEG, Error: 0, Operation Time: 43.912453ms, Latency: 148.658616ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_1.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_1_resized_.JPEG, Error: 0, Operation Time: 71.587979ms, Latency: 133.218919ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_2.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_2_resized_.JPEG, Error: 0, Operation Time: 46.412488ms, Latency: 201.765879ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_3.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_3_resized_.JPEG, Error: 0, Operation Time: 161.355451ms, Latency: 267.72342ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_4.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_4_resized_.JPEG, Error: 0, Operation Time: 81.373167ms, Latency: 138.499946ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_5.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_5_resized_.JPEG, Error: 0, Operation Time: 54.519799ms, Latency: 150.093942ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_6.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_6_resized_.JPEG, Error: 0, Operation Time: 42.765708ms, Latency: 108.423437ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_7.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_7_resized_.JPEG, Error: 0, Operation Time: 96.049396ms, Latency: 161.445334ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_8.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_8_resized_.JPEG, Error: 0, Operation Time: 48.302783ms, Latency: 341.906262ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_9.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_9_resized_.JPEG, Error: 0, Operation Time: 77.756641ms, Latency: 168.477673ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_10.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_10_resized_.JPEG, Error: 0, Operation Time: 43.084932ms, Latency: 139.224331ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_11.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_11_resized_.JPEG, Error: 0, Operation Time: 51.658304ms, Latency: 158.484664ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_12.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_12_resized_.JPEG, Error: 0, Operation Time: 51.221303ms, Latency: 127.431692ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_13.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_13_resized_.JPEG, Error: 0, Operation Time: 34.702757ms, Latency: 130.966189ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_14.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_14_resized_.JPEG, Error: 0, Operation Time: 19.989908ms, Latency: 99.589975ms
